,average_score,70%,80%,90%,95%,99%
TCGA-23-2077-01,4.16130018589921,-0.0375060221522921,-0.0291484231088781,-0.0148808257060628,0.0019249470173112,0.084080863480929
TCGA-23-2078-01,0.570992179949311,-0.0732539007254788,-0.0672123045938606,-0.054517428141366,-0.0399949867378118,0.0340692870377495
TCGA-23-2079-01,-0.0189278586010712,-0.0389632841389675,-0.0310708398057705,-0.0183590982109334,-0.00404730298495409,0.0569074268627588
TCGA-23-2081-01,2.12595680625422,-0.0395861311278708,-0.0306243574633688,-0.0151039946232979,0.00603724616499358,0.0869898640618461
TCGA-23-2641-01,0.487156811845362,-0.0602017832112151,-0.0527011143724334,-0.0404036045645762,-0.0225203914981662,0.0529013206228801
TCGA-23-2643-01,1.4699614947998,-0.0409653156232634,-0.0301303213880674,-0.0100427403269438,0.0210133977334044,0.121057462263606
TCGA-23-2645-01,-0.0755807587876027,-0.0718933277845353,-0.0625929041366924,-0.0498011693125217,-0.0337331709734251,0.0372555776854974
TCGA-23-2647-01,-0.0356552435567477,-0.05125148004849,-0.0443069713491005,-0.033591981130384,-0.0196427685297932,0.0374680827819259
TCGA-23-2649-01,0.131106380531027,-0.081391270144567,-0.0742434872335871,-0.0609363422466673,-0.0469522662473721,0.134699876931113
TCGA-24-0966-01,1.15300615850037,-0.047693156766982,-0.0392337816107616,-0.0215993120481783,-0.00370410519096013,0.1014498247436
TCGA-24-0970-01,3.2932024241254,-0.0331320059784415,-0.0237401346657364,-0.00763650114569439,0.0127713912633082,0.113413919133688
TCGA-24-0975-01,-0.0267080460971473,-0.0327647257338181,-0.0325629352224849,-0.031985679241829,-0.0127464996098621,0.04083568743463
TCGA-24-0979-01,0.234538803337375,-0.074373772065431,-0.0681268100293482,-0.0572856064863217,-0.0444413388774845,0.0582349474226837
TCGA-24-0980-01,0.908779088321947,-0.0507342019535158,-0.0421280923148154,-0.0265669437930024,-0.00873533666372148,0.068018689119042
TCGA-24-0982-01,3.27599780934301,-0.0311924082958327,-0.0214120299728459,-0.00608953603674932,0.0143036050520704,0.100343515327567
TCGA-24-1103-01,0.565031774916854,-0.0703479499379238,-0.0639770761148957,-0.052652285397979,-0.0401889162202202,0.0432280414598751
TCGA-24-1104-01,1.54479781708902,-0.0409102903456562,-0.0319021711582297,-0.012070498377138,0.0119400909989263,0.0932458383749826
